App,Website,category,auth_methods,self_serve_vs_gated,api_surface,buildability_verdict,evidence,confidence,needs_human_review
Ahrefs,ahrefs.com/api,"SEO analytics API providing backlink, keyword, and site performance data",API key and OAuth2,Self‑serve for paying Ahrefs customers (API keys generated in dashboard); requires an active paid plan,"Public REST API covering site explorer, keywords, content, rank tracking, and other SEO endpoints; suitable for MCP server or agent‑callable skills",Buildable today for paid Ahrefs customers; main blocker is the need for a paid subscription to obtain API credentials,https://docs.ahrefs.com/en/api/docs/api-keys-creation-and-management [OFFICIAL DOMAIN]; https://docs.ahrefs.com/en/ahrefs-connect/docs/oauth-guide [OFFICIAL DOMAIN]; https://apis.io/security/ahrefs/ahrefs-authentication/ [OFFICIAL DOMAIN],High,False
MrScraper,docs.mrscraper.com,Web scraping / data extraction service,API key (token) authentication,Self‑serve – developers can sign up and obtain an API key (often with a free trial) without needing sales contact,"Public REST API covering job creation, status monitoring, result retrieval, and account management; suitable for MCP server or agent‑callable skills",Buildable today – the documented REST endpoints and API‑key auth allow straightforward integration; main blocker is lack of detailed endpoint specs in the provided snippets,"https://docs.mrscraper.com/docs/api/overview, https://docs.mrscraper.com/docs/api/authentication, https://docs.mrscraper.com/docs/getting-started/overview",Inferred,False
Apify,docs.apify.com,Web scraping and automation platform API,API token (Bearer) via Authorization header or X-Apify-Token,Self‑serve – developers can sign up for a free Apify account and obtain an API token without contacting sales,"Public REST API (v2) covering actors, tasks, runs, datasets, key‑value stores, webhooks, etc.; suitable for MCP server or agent‑callable skills",Buildable – the documented REST endpoints allow straightforward integration; no major blockers identified,https://docs.apify.com/api/v2/getting-started https://docs.apify.com/api/v2 https://docs.apify.com/api,Medium,False
Firecrawl,firecrawl.dev,Web crawling and content extraction API that fetches and parses website data,API key (Bearer token),Self‑serve – developers can sign up on the website and obtain an API key (free tier or trial available),"Public REST API with endpoints for crawling, scraping, sitemap extraction, and content parsing; suitable for MCP server or agent‑callable skills",Buildable today – the documented REST endpoints can be wrapped as an agent skill; the only blocker is obtaining an API key and respecting rate limits,"https://docs.firecrawl.dev/api-reference/v2-introduction, https://docs.firecrawl.dev/api-reference/introduction, https://docs.firecrawl.dev/migrate-to-v2",Inferred,False
Bright Data,brightdata.com,Proxy Manager API for managing Bright Data proxy networks,Token (API key) based authentication,Self‑serve for registered (paid) users; token can be generated in the dashboard after account creation,"Public REST API covering token generation, proxy manager operations, and security settings; suitable for MCP or agent‑callable integrations",Fully buildable today; the only limitation is the need for a valid paid account to obtain a token,https://docs.brightdata.com/api-reference/proxy-manager/generate_token_for_token_based_authentication https://docs.brightdata.com/proxy-networks/proxy-manager/security,High,False
Sherlock,github.com/sherlock-project/sherlock,Username enumeration across social networks,"None (open-source tool, no authentication required)",Self‑serve – code is publicly available on GitHub and can be run locally without a paid plan or approval,Provides a lightweight REST‑style API (see the sherlock‑project/api repo) that wraps the core username‑search functionality; suitable for integration as an MCP server or agent‑callable skill,"Buildable today as an agent toolkit using the open‑source repository; main blocker is the lack of official hosted API documentation and a stable, maintained service endpoint",https://github.com/sherlock-project/api [OFFICIAL DOMAIN]; https://github.com/sherlock-project/api/blob/master/helper.py [OFFICIAL DOMAIN],Inferred,False
Waterfall.io,waterfall.io,Data pipeline orchestration and integration platform,API key (Bearer token),"Self‑serve (developers can generate API keys from the dashboard, typically after creating an account; may require a paid plan)","Public REST API covering authentication, API‑key management, pipelines, jobs, and monitoring; suitable for MCP server or agent‑callable skills",Buildable today – the documented REST endpoints and API‑key auth allow integration; main blocker could be limited public documentation on specific pipeline endpoints or rate‑limit policies,https://docs.waterfall.io/v1/authentication https://docs.waterfall.io/v1/api-keys-create https://docs.waterfall.io/v1/api-keys-overview,Medium,False
Clay,clay.com,"Productivity / Knowledge Management platform for organizing notes, tasks, and workflows","API key (sent in the ""clay-api-key"" header)",Self‑serve – developers can obtain an API key from the Clay dashboard after creating a free account,"Public REST API (documented on developers.clay.com) covering CRUD for objects, search, and integration hooks; suitable for MCP server or agent‑callable skills",Buildable today – the public REST API with API‑key authentication can be called from an agent toolkit; no major blockers other than obtaining an API key,"https://developers.clay.com/public-api/authentication, https://developers.clay.com/quickstart",Medium,False
GitHub,docs.github.com/rest,Code hosting and version control platform (GitHub) providing REST and GraphQL APIs,"OAuth2, fine‑grained personal access tokens, classic personal access tokens, basic auth (username/password, deprecated)",Self‑serve: developers can generate personal access tokens and OAuth apps from their GitHub account without contacting sales; no paid plan required for basic usage,"Extensive public REST API (documented at docs.github.com/rest) and GraphQL API covering repositories, issues, pull requests, actions, security, etc.; suitable for MCP server or agent‑callable skills",Fully buildable today as an agent toolkit; the only practical blocker is handling rate limits and required scopes for certain endpoints,https://docs.github.com/rest/authentication/authenticating-to-the-rest-api https://docs.github.com/en/rest/authentication/endpoints-available-for-fine-grained-personal-access-tokens https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api,High,False
Vercel,vercel.com/docs/rest-api,Vercel – Cloud platform for deploying front‑end apps and serverless functions,Bearer token (personal access token),Self‑serve: developers can generate access tokens in their Vercel account settings without contacting sales,"Extensive public REST API covering deployments, projects, domains, teams, and more; suitable for MCP server or agent‑callable skills",Buildable today; the REST API is fully documented and uses simple token auth – only typical rate‑limit considerations apply,https://vercel.com/docs/accounts/access-tokens,Medium,False
Netlify,docs.netlify.com/api,Static site hosting and serverless functions platform,Bearer token (personal access token); OAuth2 supported for third‑party apps,Self‑serve – developers can generate personal access tokens from the Netlify UI on any plan,"Public REST API (OpenAPI spec) covering sites, deploys, functions, forms, DNS, plugins, etc.; suitable for MCP server or agent‑callable skills",Buildable today – full documentation and token‑based auth are available; only consideration is rate limits and per‑user token management,https://open-api.netlify.com/ https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/ https://github.com/netlify/open-api/blob/master/swagger.yml,High,False
Cloudflare,developers.cloudflare.com/api,"Cloudflare API – public REST API for managing Cloudflare services (DNS, security, workers, analytics, etc.)",API Token (Bearer) and API Key (X-Auth-Key / X-Auth-Email) authentication,Self‑serve – developers can create a free Cloudflare account and generate API tokens or keys without sales contact,"Extensive public REST API covering zones, DNS records, firewall rules, workers, analytics, and more; suitable for MCP server or agent‑callable skills",Buildable today; the official REST endpoints and authentication are well documented. Main considerations are rate limits and account provisioning.,https://developers.cloudflare.com/fundamentals/api/how-to/make-api-calls/ https://developers.cloudflare.com/style-guide/api-content-strategy/guidelines-for-curl-commands/ https://developers.cloudflare.com/fundamentals/api/get-started/,Medium,False
Supabase,supabase.com/docs,"Backend-as-a-Service (BaaS) platform offering database, authentication, storage, and realtime APIs","API keys (publishable anon key and secret service_role key), JWT tokens, OAuth2 via third‑party providers","Self‑serve – developers can obtain anon and service_role keys from the Supabase dashboard on any plan, including the free tier","Broad public REST API via PostgREST, optional GraphQL layer, realtime websockets, storage and auth endpoints; suitable for MCP server or agent‑callable skills",Fully buildable today as an agent toolkit; no major blockers beyond handling role‑based keys and JWT verification,https://supabase.com/docs/guides/getting-started/api-keys https://supabase.com/docs/guides/getting-started/migrating-to-new-api-keys https://supabase.com/docs/guides/auth/signing-keys,High,False
Neo4j,neo4j.com/docs/api,Graph database with HTTP REST API for Cypher queries,Basic (username/password) and Bearer token (Authorization header),Self‑serve: developers can obtain credentials on‑prem or via Neo4j Aura free tier without sales contact,"Public REST HTTP API (transaction, query, schema, admin) documented; callable from agents or MCP servers; GraphQL available via separate library",Fully buildable today; the only consideration is handling authentication (Basic or token) and possible rate limits on hosted Aura instances,https://neo4j.com/docs/http-api/current/authentication-authorization/ [OFFICIAL DOMAIN]; https://neo4j.com/docs/http-api/current/headers/ [OFFICIAL DOMAIN]; https://neo4j.com/docs/http-api/4.4/security/ [OFFICIAL DOMAIN],Medium,False
Snowflake,docs.snowflake.com,Cloud data warehouse platform with SQL execution via REST API,"OAuth2, username/password (basic), key‑pair/JWT token",Self‑serve for trial/free accounts; production credentials require an admin‑created Snowflake user or integration (paid plan),"Public REST‑based SQL API (Data API) covering query execution, session management, and object operations; callable from external services but not a GraphQL endpoint",Buildable today as an agent toolkit using Snowflake's SQL API; main blocker is obtaining proper auth tokens and managing account‑level permissions,https://docs.snowflake.com/en/developer-guide/sql-api/authenticating https://docs.snowflake.com/en/developer-guide/sql-api/reference,Medium,False
MongoDB Atlas,mongodb.com/docs/atlas/api,MongoDB Atlas cloud database service with REST and GraphQL admin APIs,"HTTP Digest (API public key as username, private key as password) and API Key/JWT for App Services",Self‑serve – developers can sign up for a free Atlas account and generate API keys without sales contact,"Broad public REST Admin API covering projects, clusters, users, etc.; also a (now deprecated) GraphQL API for App Services. Callable from external services or MCP agents.",Buildable today – the official REST endpoints are well documented and can be wrapped in an agent toolkit; the only friction is handling HTTP Digest authentication and the deprecation of the GraphQL endpoint.,https://www.mongodb.com/docs/atlas/graphql-api/ https://www.mongodb.com/docs/api/doc/atlas-app-services-admin-api-v3/group/endpoint-graphql https://www.mongodb.com/docs/api/doc/atlas-app-services-admin-api-v3/,Medium,False
Datadog,docs.datadoghq.com/api,MCP Server – AI agent‑ready observability platform for Datadog,API key (and optional Application key) via HTTP headers,Gated – requires a paid Datadog plan or sales contact to enable,"Public REST API exposing metrics, logs, traces, dashboards and other observability data; callable by AI agents via the MCP server","Can be built today using the official MCP Server offering, but limited public documentation on endpoints and auth details may require contacting Datadog for full specs",https://docs.datadoghq.com/mcp_server/ [OFFICIAL DOMAIN]; https://www.datadoghq.com/product/ai/mcp-server/ [OFFICIAL DOMAIN],Medium,False
Sentry,docs.sentry.io/api,Error monitoring and performance analytics platform,Bearer token (personal API token) via Authorization header; also supports SCIM token authentication,Self‑serve – developers can generate API tokens in the Sentry UI without contacting sales,"Broad public REST API covering organizations, projects, issues, releases, events, users, SCIM provisioning, etc.; suitable for MCP server or agent‑callable skills",Buildable today – official REST endpoints and token‑based auth are documented; main consideration is obtaining a token and respecting rate limits,"https://docs.sentry.io/api/auth/, https://docs.sentry.io/api/scim/, https://docs.sentry.io/api/users/list-your-organizations/",High,False
Notion,developers.notion.com,"All-in-one workspace for notes, docs, databases, and collaboration",OAuth2 and personal access token (API key),Self‑serve (free) – developers can create integrations and obtain tokens without a paid plan or sales contact,"Public RESTful JSON API covering pages, databases, blocks, users, search, etc.; suitable for MCP server or agent‑callable skills",Buildable today; only considerations are rate limits and the need for OAuth when accessing end‑user data,https://developers.notion.com/guides/get-started/personal-access-tokens https://developers.notion.com/guides/get-started/authorization https://developers.notion.com/guides/get-started/quick-start,High,False
Airtable,airtable.com/developers,Productivity/Database SaaS with programmable REST API,"API key / Personal Access Token (Bearer), OAuth2","Self‑serve – developers can obtain API keys or create OAuth apps from their Airtable account without contacting sales (free tier available, paid plans for higher limits)","Public REST API covering bases, tables, records, schema, and webhooks; suitable for MCP server or agent‑callable skills",Buildable today – the documented REST endpoints and token‑based auth allow integration; main considerations are rate limits and per‑user credential management,https://airtable.com/developers/web/api/authentication https://airtable.com/developers/extensions/guides/faq https://airtable.com/developers/web/api/changelog,Medium,False
Linear,developers.linear.app,"Project management and issue tracking platform – Linear provides APIs to manage issues, projects, cycles, teams, and users.",API key (Bearer token) and OAuth2,Self‑serve – developers can generate personal API keys in the UI and register OAuth apps without contacting sales; no paid‑plan gate for basic access.,"Public GraphQL API covering core entities (issues, projects, cycles, teams, users, etc.) plus configurable webhooks for event notifications.",Buildable – the documented GraphQL endpoint and webhook system enable an agent toolkit today; no major technical blockers.,"https://linear.app/docs/api-and-webhooks [OFFICIAL DOMAIN], https://linear.app/docs/security-and-access [OFFICIAL DOMAIN]",Medium,False
Jira,developer.atlassian.com,Issue tracking and agile project management platform,OAuth 2.0 (3LO) and API token via Basic authentication,"Self‑serve – developers can register an app and obtain credentials, and users can generate API tokens, without a paid plan or sales gate","Public REST API (v2/v3) covering issues, projects, users, workflows, agile boards, etc.; callable from server‑side or agent‑callable skills",Buildable today; the only notable blocker is handling OAuth 2.0 flow and required scopes for specific operations,https://developer.atlassian.com/cloud/jira/platform/rest/v2/intro/ https://developer.atlassian.com/cloud/oauth/getting-started/determining-scopes/ https://developer.atlassian.com/cloud/jira/platform/scopes-for-oauth-2-3lo-and-forge-apps/,High,False
Asana,developers.asana.com,Project management and collaboration platform integration,"OAuth 2.0 (official), Personal Access Tokens (PAT) for service accounts",Self‑serve: developers can register an app and obtain OAuth client ID/secret via the Asana developer console without contacting sales; service‑account tokens may require an Enterprise plan,"Broad public REST API (JSON) covering tasks, projects, teams, users, etc.; suitable for MCP‑style server or agent‑callable skills",Buildable today using OAuth 2.0 and the public REST API; main limitation could be rate limits or Enterprise‑only service‑account features,https://developers.asana.com/docs/oauth https://help.asana.com/hc/en-us/articles/14217496838427-Service-accounts https://help.asana.com/s/article/app-management-and-integrations?language=en_US,High,False
Monday.com,developer.monday.com,"Project management and work OS platform with API for managing boards, items, users, etc.",OAuth2 (app authorization) and API token (personal access token),API token is self‑serve via user settings; OAuth2 app requires app registration and may need admin or sales approval for production use,"Public GraphQL API (full CRUD on boards, items, users, etc.) plus REST endpoints and webhooks; usable by external services and MCP agents",Buildable today; integration can be done via GraphQL or token. Main blocker is OAuth app approval for wide‑scale deployment.,https://developer.monday.com/api-reference/docs/authentication https://developer.monday.com/api-reference/docs/the-developer-center https://developer.monday.com/apps/docs/choosing-auth,Medium,False
